Name,Lat,Lon,country,state,Population
les Escaldes,42.50729,1.53414,AD,8,15853
Andorra la Vella,42.50779,1.52109,AD,7,20430
Umm al Qaywayn,25.56473,55.55517,AE,7,44411
Ras al-Khaimah,25.78953,55.9432,AE,5,115949
Khawr Fakkan,25.33132,56.34199,AE,6,33575
Dubai,25.0657,55.17128,AE,3,1137347
Dibba Al-Fujairah,25.59246,56.26176,AE,4,30000
Dibba Al-Hisn,25.61955,56.27291,AE,4,26395
Sharjah,25.33737,55.41206,AE,6,543733
Ar Ruways,24.11028,52.73056,AE,1,16000
Al Fujayrah,25.11641,56.34141,AE,4,62415
Al Ain,24.19167,55.76056,AE,1,408733
Ajman,25.41111,55.43504,AE,2,226172
Adh Dhayd,25.28812,55.88157,AE,6,24716
Abu Dhabi,24.46667,54.36667,AE,1,603492
Zaranj,30.95962,61.86037,AF,19,49851
Taloqan,36.73605,69.53451,AF,26,64256
Shindand,33.30294,62.1474,AF,11,29264
Shibirghan,36.66757,65.7529,AF,31,55641
Shahrak,34.10737,64.3052,AF,9,15967
Sar-e Pul,36.21544,65.93249,AF,33,52121
Sang-e Charak,35.84972,66.43694,AF,33,15377
Aibak,36.26468,68.01551,AF,32,47823
Rustaq,37.12604,69.83045,AF,26,25636
Qarqin,37.41853,66.04358,AF,31,15018
Qarawul,37.21959,68.7802,AF,24,24544
Pul-e Khumri,35.94458,68.71512,AF,3,56369
Paghman,34.58787,68.95091,AF,13,49157
Nahrin,36.0649,69.13343,AF,3,22363
Maymana,35.92139,64.78361,AF,7,75900
Mehtar Lam,34.67139,70.20944,AF,35,17345
Mazar-e Sharif,36.70904,67.11087,AF,30,303282
Lashkar Gah,31.59382,64.37161,AF,10,43934
Kushk,33.29565,61.95221,AF,11,16952
Kunduz,36.72895,68.857,AF,24,161902
Khost,33.33951,69.92041,AF,37,96123
Khulm,36.69736,67.69826,AF,30,64933
Khash,31.52919,62.79055,AF,19,15133
Khanabad,36.6825,69.11556,AF,24,71531
Karukh,34.48108,62.5863,AF,11,17484
Kandahar,31.61332,65.71013,AF,23,391190
Kabul,34.52813,69.17233,AF,13,3043532
